"x","y"
316.8031285,4953.510092
315.8918476,4954.078576
316.9164158,4954.428493
317.0375998,4956.183801
316.8925282,4957.212938
316.0801117,4957.340593
315.3137707,4957.692715
316.4055146,4958.194015
316.3371783,4958.853002
314.8909447,4958.141775
314.0894421,4958.368323
314.5844068,4959.325723
316.7700121,4959.866798
316.3435986,4960.742779
317.0926964,4960.631385
315.0902677,4959.840363
315.0650446,4960.615981
314.642696,4961.348558
317.0879008,4961.576498
316.599895,4962.787744
316.9728466,4963.375232
314.5246087,4962.195791
315.01862,4962.580681
314.6555012,4963.165922
315.7417039,4964.330942
317.2170623,4964.725719
316.1590679,4965.364036
315.7517804,4966.061661
315.8492798,4966.97829
316.6551861,4967.219822
